date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:27:31	5806/5806	---MCZ	200	added ('OK')	text/html	etag:%22e4f7bdbcfd468f669e6de8efecd26f24-ssl-df%22	https://exp-gemini.lusion.co/robots.txt		(from )
00:27:32	19340/19340	---MCZ	200	added ('OK')	text/html	etag:%22e4f7bdbcfd468f669e6de8efecd26f24-ssl-df%22	https://exp-gemini.lusion.co/	./recovered-site/exp-gemini.lusion.co/index.html	(from )
00:27:33	2391/2391	---M--	200	added ('OK')	image/png	etag:%22ce841a3bfaaed8862916163d9f7388e9-ssl%22	https://exp-gemini.lusion.co/assets/app/apple-touch-icon.png	./recovered-site/exp-gemini.lusion.co/assets/app/apple-touch-icon.png	(from https://exp-gemini.lusion.co/)
00:27:34	292/292	---M--	200	added ('OK')	image/png	etag:%22a5f44d132c0f6c61bd8dc8abf1ba761e-ssl%22	https://exp-gemini.lusion.co/assets/app/favicon-32x32.png	./recovered-site/exp-gemini.lusion.co/assets/app/favicon-32x32.png	(from https://exp-gemini.lusion.co/)
00:27:36	191/191	---M--	200	added ('OK')	image/png	etag:%224d33148c22315c53b861181b4333a4c7-ssl%22	https://exp-gemini.lusion.co/assets/app/favicon-16x16.png	./recovered-site/exp-gemini.lusion.co/assets/app/favicon-16x16.png	(from https://exp-gemini.lusion.co/)
00:27:37	466/466	---M--	200	added ('OK')	application/octet-stream	etag:%22e1b3c52cc27b708ae20d7fb74069f9fb-ssl%22	https://exp-gemini.lusion.co/assets/app/site.webmanifest	./recovered-site/exp-gemini.lusion.co/assets/app/site.webmanifest	(from https://exp-gemini.lusion.co/)
00:27:38	15406/15406	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:%22a2593612fd67761f2b89368fb9b695c8-ssl-df%22	https://exp-gemini.lusion.co/favicon.ico	./recovered-site/exp-gemini.lusion.co/favicon.ico	(from https://exp-gemini.lusion.co/)
00:27:40	278/278	---M--	200	added ('OK')	application/xml	etag:%22f574e165b7320df8aa692e0b81773799-ssl%22	https://exp-gemini.lusion.co/assets/app/browserconfig.xml	./recovered-site/exp-gemini.lusion.co/assets/app/browserconfig.xml	(from https://exp-gemini.lusion.co/)
00:27:42	239217/239217	---M--	200	added ('OK')	image/jpeg	etag:%22444f1d38054ecba5290d2c1decbd93ef-ssl%22	https://exp-gemini.lusion.co/assets/app/share.jpg	./recovered-site/exp-gemini.lusion.co/assets/app/share.jpg	(from https://exp-gemini.lusion.co/)
00:27:42	23527/23527	---MCZ	200	added ('OK')	text/css	etag:%22858bb54a9fc2f02b79f6db99e55036d4-ssl-df%22	https://exp-gemini.lusion.co/assets/css/index.css	./recovered-site/exp-gemini.lusion.co/assets/css/index.css	(from https://exp-gemini.lusion.co/)
00:27:44	61100/61100	---MCZ	200	added ('OK')	application/javascript	etag:%223c7f78cb3b4d5df5514174c31d438255-ssl-df%22	https://exp-gemini.lusion.co/assets/js/gsap.min.js	./recovered-site/exp-gemini.lusion.co/assets/js/gsap.min.js	(from https://exp-gemini.lusion.co/)
00:27:46	1186117/1186117	---MCZ	200	added ('OK')	application/javascript	etag:%22dc6be4d4b80e71f76173f8b3f552fe5b-ssl-df%22	https://exp-gemini.lusion.co/assets/js/index.js	./recovered-site/exp-gemini.lusion.co/assets/js/index.js	(from https://exp-gemini.lusion.co/)
